timestamp_localtime,experiment,pioreactor_unit,timestamp,alt_media_fraction
2024-08-16 06:58:59,Booch01,pio02,2024-08-16T05:58:59.720584Z,0.0
2024-08-16 06:59:20,Booch01,pio02,2024-08-16T05:59:20.548230Z,0.0
2024-08-16 06:59:48,Booch01,pio02,2024-08-16T05:59:48.860204Z,0.0
2024-08-16 06:59:59,Booch01,pio02,2024-08-16T05:59:59.351575Z,0.0
2024-08-16 07:00:20,Booch01,pio02,2024-08-16T06:00:20.179991Z,0.0
2024-08-16 07:00:48,Booch01,pio02,2024-08-16T06:00:48.492812Z,0.0
2024-08-16 07:00:59,Booch01,pio02,2024-08-16T06:00:59.084440Z,0.0
2024-08-16 07:01:19,Booch01,pio02,2024-08-16T06:01:19.912939Z,0.0
2024-08-16 07:01:48,Booch01,pio02,2024-08-16T06:01:48.224745Z,0.0
2024-08-16 07:01:58,Booch01,pio02,2024-08-16T06:01:58.728400Z,0.0
2024-08-16 07:02:19,Booch01,pio02,2024-08-16T06:02:19.556478Z,0.0
2024-08-16 07:02:47,Booch01,pio02,2024-08-16T06:02:47.869038Z,0.0
2024-08-16 07:02:58,Booch01,pio02,2024-08-16T06:02:58.357023Z,0.0
2024-08-16 07:03:19,Booch01,pio02,2024-08-16T06:03:19.284238Z,0.0
2024-08-16 07:03:47,Booch01,pio02,2024-08-16T06:03:47.600710Z,0.0
2024-08-16 07:03:58,Booch01,pio02,2024-08-16T06:03:58.088438Z,0.0
2024-08-16 07:04:18,Booch01,pio02,2024-08-16T06:04:18.917680Z,0.0
2024-08-16 07:04:47,Booch01,pio02,2024-08-16T06:04:47.223965Z,0.0
2024-08-16 07:04:57,Booch01,pio02,2024-08-16T06:04:57.715701Z,0.0
2024-08-16 07:05:18,Booch01,pio02,2024-08-16T06:05:18.546094Z,0.0
2024-08-16 07:05:46,Booch01,pio02,2024-08-16T06:05:46.956447Z,0.0
2024-08-16 07:05:57,Booch01,pio02,2024-08-16T06:05:57.444749Z,0.0
2024-08-16 07:06:18,Booch01,pio02,2024-08-16T06:06:18.272381Z,0.0
2024-08-16 07:06:46,Booch01,pio02,2024-08-16T06:06:46.584755Z,0.0
2024-08-16 07:06:57,Booch01,pio02,2024-08-16T06:06:57.072347Z,0.0
2024-08-16 07:07:17,Booch01,pio02,2024-08-16T06:07:17.900976Z,0.0
2024-08-16 07:07:46,Booch01,pio02,2024-08-16T06:07:46.212838Z,0.0
2024-08-16 07:07:56,Booch01,pio02,2024-08-16T06:07:56.800496Z,0.0
2024-08-16 07:08:17,Booch01,pio02,2024-08-16T06:08:17.628402Z,0.0
2024-08-16 07:08:45,Booch01,pio02,2024-08-16T06:08:45.940527Z,0.0
2024-08-16 07:08:56,Booch01,pio02,2024-08-16T06:08:56.432224Z,0.0
2024-08-16 07:09:17,Booch01,pio02,2024-08-16T06:09:17.271976Z,0.0
2024-08-16 07:09:45,Booch01,pio02,2024-08-16T06:09:45.588468Z,0.0
2024-08-16 07:09:56,Booch01,pio02,2024-08-16T06:09:56.068793Z,0.0
2024-08-16 07:10:17,Booch01,pio02,2024-08-16T06:10:17.005228Z,0.0
2024-08-16 07:10:45,Booch01,pio02,2024-08-16T06:10:45.309136Z,0.0
2024-08-16 07:10:55,Booch01,pio02,2024-08-16T06:10:55.804080Z,0.0
2024-08-16 07:11:16,Booch01,pio02,2024-08-16T06:11:16.625111Z,0.0
2024-08-16 07:11:44,Booch01,pio02,2024-08-16T06:11:44.944210Z,0.0
2024-08-16 07:11:55,Booch01,pio02,2024-08-16T06:11:55.436243Z,0.0
2024-08-16 07:12:16,Booch01,pio02,2024-08-16T06:12:16.260560Z,0.0
2024-08-16 07:12:44,Booch01,pio02,2024-08-16T06:12:44.676476Z,0.0
2024-08-16 07:12:55,Booch01,pio02,2024-08-16T06:12:55.160439Z,0.0
2024-08-16 07:13:21,Booch01,pio02,2024-08-16T06:13:21.189130Z,0.0
2024-08-16 07:13:49,Booch01,pio02,2024-08-16T06:13:49.500711Z,0.0
2024-08-16 07:13:59,Booch01,pio02,2024-08-16T06:13:59.992326Z,0.0
2024-08-16 07:14:20,Booch01,pio02,2024-08-16T06:14:20.852666Z,0.0
2024-08-16 07:14:49,Booch01,pio02,2024-08-16T06:14:49.160889Z,0.0
2024-08-16 07:14:59,Booch01,pio02,2024-08-16T06:14:59.652722Z,0.0
2024-08-16 07:15:20,Booch01,pio02,2024-08-16T06:15:20.476553Z,0.0
2024-08-16 07:15:48,Booch01,pio02,2024-08-16T06:15:48.795939Z,0.0
2024-08-16 07:15:59,Booch01,pio02,2024-08-16T06:15:59.285092Z,0.0
2024-08-16 07:16:20,Booch01,pio02,2024-08-16T06:16:20.212070Z,0.0
2024-08-16 07:16:48,Booch01,pio02,2024-08-16T06:16:48.524200Z,0.0
2024-08-16 07:16:59,Booch01,pio02,2024-08-16T06:16:59.012166Z,0.0
2024-08-16 07:17:19,Booch01,pio02,2024-08-16T06:17:19.840477Z,0.0
2024-08-16 07:17:48,Booch01,pio02,2024-08-16T06:17:48.152996Z,0.0
2024-08-16 07:17:58,Booch01,pio02,2024-08-16T06:17:58.653283Z,0.0
2024-08-16 07:18:19,Booch01,pio02,2024-08-16T06:18:19.532593Z,0.0
2024-08-16 07:18:47,Booch01,pio02,2024-08-16T06:18:47.944250Z,0.0
2024-08-16 07:18:58,Booch01,pio02,2024-08-16T06:18:58.435991Z,0.0
2024-08-16 07:19:19,Booch01,pio02,2024-08-16T06:19:19.265282Z,0.0
2024-08-16 07:19:47,Booch01,pio02,2024-08-16T06:19:47.580897Z,0.0
2024-08-16 07:19:58,Booch01,pio02,2024-08-16T06:19:58.076473Z,0.0
2024-08-16 07:20:18,Booch01,pio02,2024-08-16T06:20:18.904677Z,0.0
2024-08-16 07:20:47,Booch01,pio02,2024-08-16T06:20:47.212528Z,0.0
2024-08-16 07:20:57,Booch01,pio02,2024-08-16T06:20:57.809185Z,0.0
2024-08-16 07:21:18,Booch01,pio02,2024-08-16T06:21:18.641914Z,0.0
2024-08-16 07:21:46,Booch01,pio02,2024-08-16T06:21:46.952240Z,0.0
2024-08-16 07:21:57,Booch01,pio02,2024-08-16T06:21:57.436346Z,0.0
2024-08-16 07:22:18,Booch01,pio02,2024-08-16T06:22:18.272721Z,0.0
2024-08-16 07:22:46,Booch01,pio02,2024-08-16T06:22:46.584058Z,0.0
2024-08-16 07:22:57,Booch01,pio02,2024-08-16T06:22:57.073638Z,0.0
2024-08-16 07:23:17,Booch01,pio02,2024-08-16T06:23:17.996058Z,0.0
2024-08-16 07:23:46,Booch01,pio02,2024-08-16T06:23:46.379809Z,0.0
2024-08-16 07:23:56,Booch01,pio02,2024-08-16T06:23:56.868542Z,0.0
2024-08-16 07:24:17,Booch01,pio02,2024-08-16T06:24:17.689657Z,0.0
2024-08-16 07:24:46,Booch01,pio02,2024-08-16T06:24:46.012874Z,0.0
2024-08-16 07:24:56,Booch01,pio02,2024-08-16T06:24:56.501080Z,0.0
2024-08-16 07:25:17,Booch01,pio02,2024-08-16T06:25:17.328712Z,0.0
2024-08-16 07:25:45,Booch01,pio02,2024-08-16T06:25:45.744139Z,0.0
2024-08-16 07:25:56,Booch01,pio02,2024-08-16T06:25:56.232826Z,0.0
2024-08-16 07:26:17,Booch01,pio02,2024-08-16T06:26:17.053306Z,0.0
2024-08-16 07:26:45,Booch01,pio02,2024-08-16T06:26:45.369076Z,0.0
2024-08-16 07:26:55,Booch01,pio02,2024-08-16T06:26:55.860628Z,0.0
2024-08-16 07:27:16,Booch01,pio02,2024-08-16T06:27:16.684900Z,0.0
2024-08-16 07:27:44,Booch01,pio02,2024-08-16T06:27:44.996679Z,0.0
2024-08-16 07:27:55,Booch01,pio02,2024-08-16T06:27:55.584282Z,0.0
2024-08-16 07:28:16,Booch01,pio02,2024-08-16T06:28:16.412266Z,0.0
2024-08-16 07:28:44,Booch01,pio02,2024-08-16T06:28:44.724892Z,0.0
2024-08-16 07:28:55,Booch01,pio02,2024-08-16T06:28:55.212195Z,0.0
2024-08-16 07:29:21,Booch01,pio02,2024-08-16T06:29:21.200310Z,0.0
2024-08-16 07:29:49,Booch01,pio02,2024-08-16T06:29:49.513391Z,0.0
2024-08-16 07:30:00,Booch01,pio02,2024-08-16T06:30:00.100465Z,0.0
2024-08-16 07:30:20,Booch01,pio02,2024-08-16T06:30:20.932735Z,0.0
2024-08-16 07:30:49,Booch01,pio02,2024-08-16T06:30:49.241415Z,0.0
2024-08-16 07:30:59,Booch01,pio02,2024-08-16T06:30:59.733540Z,0.0
2024-08-16 07:31:20,Booch01,pio02,2024-08-16T06:31:20.556684Z,0.0
2024-08-16 07:31:48,Booch01,pio02,2024-08-16T06:31:48.868485Z,0.0
2024-08-16 07:31:59,Booch01,pio02,2024-08-16T06:31:59.348902Z,0.0
2024-08-16 07:32:20,Booch01,pio02,2024-08-16T06:32:20.284873Z,0.0
2024-08-16 07:32:48,Booch01,pio02,2024-08-16T06:32:48.599985Z,0.0
2024-08-16 07:32:59,Booch01,pio02,2024-08-16T06:32:59.120655Z,0.0
2024-08-16 07:33:19,Booch01,pio02,2024-08-16T06:33:19.944377Z,0.0
2024-08-16 07:33:48,Booch01,pio02,2024-08-16T06:33:48.261010Z,0.0
2024-08-16 07:33:58,Booch01,pio02,2024-08-16T06:33:58.760548Z,0.0
2024-08-16 07:34:19,Booch01,pio02,2024-08-16T06:34:19.584218Z,0.0
2024-08-16 07:34:48,Booch01,pio02,2024-08-16T06:34:48.032233Z,0.0
2024-08-16 07:34:58,Booch01,pio02,2024-08-16T06:34:58.519956Z,0.0
2024-08-16 07:35:19,Booch01,pio02,2024-08-16T06:35:19.348008Z,0.0
2024-08-16 07:35:47,Booch01,pio02,2024-08-16T06:35:47.665030Z,0.0
2024-08-16 07:35:58,Booch01,pio02,2024-08-16T06:35:58.152852Z,0.0
2024-08-16 07:36:18,Booch01,pio02,2024-08-16T06:36:18.980759Z,0.0
2024-08-16 07:36:47,Booch01,pio02,2024-08-16T06:36:47.292248Z,0.0
2024-08-16 07:36:57,Booch01,pio02,2024-08-16T06:36:57.880306Z,0.0
2024-08-16 07:37:18,Booch01,pio02,2024-08-16T06:37:18.744916Z,0.0
2024-08-16 07:37:47,Booch01,pio02,2024-08-16T06:37:47.064453Z,0.0
2024-08-16 07:37:57,Booch01,pio02,2024-08-16T06:37:57.552932Z,0.0
2024-08-16 07:38:18,Booch01,pio02,2024-08-16T06:38:18.380959Z,0.0
2024-08-16 07:38:46,Booch01,pio02,2024-08-16T06:38:46.692872Z,0.0
2024-08-16 07:38:57,Booch01,pio02,2024-08-16T06:38:57.180249Z,0.0
2024-08-16 07:39:18,Booch01,pio02,2024-08-16T06:39:18.104181Z,0.0
2024-08-16 07:39:46,Booch01,pio02,2024-08-16T06:39:46.416332Z,0.0
2024-08-16 07:39:56,Booch01,pio02,2024-08-16T06:39:56.908526Z,0.0
2024-08-16 07:40:17,Booch01,pio02,2024-08-16T06:40:17.736783Z,0.0
2024-08-16 07:40:46,Booch01,pio02,2024-08-16T06:40:46.048449Z,0.0
2024-08-16 07:40:56,Booch01,pio02,2024-08-16T06:40:56.536380Z,0.0
2024-08-16 07:41:17,Booch01,pio02,2024-08-16T06:41:17.369228Z,0.0
2024-08-16 07:41:45,Booch01,pio02,2024-08-16T06:41:45.800348Z,0.0
2024-08-16 07:41:56,Booch01,pio02,2024-08-16T06:41:56.288541Z,0.0
2024-08-16 07:42:17,Booch01,pio02,2024-08-16T06:42:17.116525Z,0.0
2024-08-16 07:42:45,Booch01,pio02,2024-08-16T06:42:45.424108Z,0.0
2024-08-16 07:42:55,Booch01,pio02,2024-08-16T06:42:55.916353Z,0.0
2024-08-16 07:43:16,Booch01,pio02,2024-08-16T06:43:16.745308Z,0.0
2024-08-16 07:43:45,Booch01,pio02,2024-08-16T06:43:45.052640Z,0.0
2024-08-16 07:43:55,Booch01,pio02,2024-08-16T06:43:55.633292Z,0.0
2024-08-16 07:44:16,Booch01,pio02,2024-08-16T06:44:16.473097Z,0.0
2024-08-16 07:44:44,Booch01,pio02,2024-08-16T06:44:44.784176Z,0.0
2024-08-16 07:44:55,Booch01,pio02,2024-08-16T06:44:55.271989Z,0.0
2024-08-16 07:45:21,Booch01,pio02,2024-08-16T06:45:21.188556Z,0.0
2024-08-16 07:45:49,Booch01,pio02,2024-08-16T06:45:49.500667Z,0.0
2024-08-16 07:46:00,Booch01,pio02,2024-08-16T06:46:00.092231Z,0.0
2024-08-16 07:46:20,Booch01,pio02,2024-08-16T06:46:20.920470Z,0.0
2024-08-16 07:46:49,Booch01,pio02,2024-08-16T06:46:49.232574Z,0.0
2024-08-16 07:46:59,Booch01,pio02,2024-08-16T06:46:59.719977Z,0.0
2024-08-16 07:47:20,Booch01,pio02,2024-08-16T06:47:20.544544Z,0.0
2024-08-16 07:47:48,Booch01,pio02,2024-08-16T06:47:48.859958Z,0.0
