timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-12-08 08:29:57,Spirulina 003,pio001,2023-12-08T08:29:57.078279Z,UpdatedHeaterDC,delta_dc=0.04499999999999105,"{""current_dc"": 48.51, ""delta_dc"": 0.04499999999999105}"
2023-12-08 08:33:42,Spirulina 003,pio001,2023-12-08T08:33:42.069920Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.51, ""delta_dc"": 0.0}"
2023-12-08 08:37:27,Spirulina 003,pio001,2023-12-08T08:37:27.067288Z,UpdatedHeaterDC,delta_dc=-0.07499999999998508,"{""current_dc"": 48.44, ""delta_dc"": -0.07499999999998508}"
2023-12-08 08:41:12,Spirulina 003,pio001,2023-12-08T08:41:12.064713Z,UpdatedHeaterDC,delta_dc=0.34499999999998465,"{""current_dc"": 48.78, ""delta_dc"": 0.34499999999998465}"
2023-12-08 08:44:57,Spirulina 003,pio001,2023-12-08T08:44:57.071221Z,UpdatedHeaterDC,delta_dc=-0.17999999999999616,"{""current_dc"": 48.6, ""delta_dc"": -0.17999999999999616}"
2023-12-08 08:48:42,Spirulina 003,pio001,2023-12-08T08:48:42.072176Z,UpdatedHeaterDC,delta_dc=0.0,"{""current_dc"": 48.6, ""delta_dc"": 0.0}"
2023-12-08 08:52:27,Spirulina 003,pio001,2023-12-08T08:52:27.063568Z,UpdatedHeaterDC,delta_dc=0.3749999999999787,"{""current_dc"": 48.97, ""delta_dc"": 0.3749999999999787}"
2023-12-08 08:56:12,Spirulina 003,pio001,2023-12-08T08:56:12.061510Z,UpdatedHeaterDC,delta_dc=-0.44999999999999574,"{""current_dc"": 48.52, ""delta_dc"": -0.44999999999999574}"
2023-12-08 08:59:57,Spirulina 003,pio001,2023-12-08T08:59:57.063706Z,UpdatedHeaterDC,delta_dc=-0.31500000000001194,"{""current_dc"": 48.2, ""delta_dc"": -0.31500000000001194}"
2023-12-08 09:03:42,Spirulina 003,pio001,2023-12-08T09:03:42.059633Z,UpdatedHeaterDC,delta_dc=-0.029999999999983373,"{""current_dc"": 48.17, ""delta_dc"": -0.029999999999983373}"
2023-12-08 09:07:27,Spirulina 003,pio001,2023-12-08T09:07:27.067286Z,UpdatedHeaterDC,delta_dc=0.17999999999999616,"{""current_dc"": 48.35, ""delta_dc"": 0.17999999999999616}"
2023-12-08 09:11:12,Spirulina 003,pio001,2023-12-08T09:11:12.070017Z,UpdatedHeaterDC,delta_dc=-0.07499999999998508,"{""current_dc"": 48.28, ""delta_dc"": -0.07499999999998508}"
2023-12-08 09:14:57,Spirulina 003,pio001,2023-12-08T09:14:57.057413Z,UpdatedHeaterDC,delta_dc=-0.18000000000001748,"{""current_dc"": 48.1, ""delta_dc"": -0.18000000000001748}"
2023-12-08 09:18:42,Spirulina 003,pio001,2023-12-08T09:18:42.068897Z,UpdatedHeaterDC,delta_dc=0.13500000000000512,"{""current_dc"": 48.24, ""delta_dc"": 0.13500000000000512}"
2023-12-08 09:22:27,Spirulina 003,pio001,2023-12-08T09:22:27.064386Z,UpdatedHeaterDC,delta_dc=0.15000000000002345,"{""current_dc"": 48.39, ""delta_dc"": 0.15000000000002345}"
2023-12-08 09:26:12,Spirulina 003,pio001,2023-12-08T09:26:12.073128Z,UpdatedHeaterDC,delta_dc=-0.16499999999999915,"{""current_dc"": 48.23, ""delta_dc"": -0.16499999999999915}"
2023-12-08 09:29:57,Spirulina 003,pio001,2023-12-08T09:29:57.065605Z,UpdatedHeaterDC,delta_dc=-0.18000000000001748,"{""current_dc"": 48.05, ""delta_dc"": -0.18000000000001748}"
2023-12-08 09:33:42,Spirulina 003,pio001,2023-12-08T09:33:42.072860Z,UpdatedHeaterDC,delta_dc=0.2099999999999902,"{""current_dc"": 48.26, ""delta_dc"": 0.2099999999999902}"
