timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2023-11-28 15:56:47,Spirulina 003,pio001,2023-11-28T15:56:47.754111Z,32.5
2023-11-28 16:00:32,Spirulina 003,pio001,2023-11-28T16:00:32.745698Z,32.48
2023-11-28 16:04:17,Spirulina 003,pio001,2023-11-28T16:04:17.744680Z,32.48
2023-11-28 16:08:02,Spirulina 003,pio001,2023-11-28T16:08:02.757727Z,32.51
2023-11-28 16:11:47,Spirulina 003,pio001,2023-11-28T16:11:47.760492Z,32.48
2023-11-28 16:15:32,Spirulina 003,pio001,2023-11-28T16:15:32.747648Z,32.49
2023-11-28 16:19:17,Spirulina 003,pio001,2023-11-28T16:19:17.758094Z,32.51
2023-11-28 16:23:02,Spirulina 003,pio001,2023-11-28T16:23:02.742656Z,32.48
2023-11-28 16:26:47,Spirulina 003,pio001,2023-11-28T16:26:47.751674Z,32.47
2023-11-28 16:30:32,Spirulina 003,pio001,2023-11-28T16:30:32.744969Z,32.43
2023-11-28 16:34:17,Spirulina 003,pio001,2023-11-28T16:34:17.741220Z,32.28
2023-11-28 16:38:02,Spirulina 003,pio001,2023-11-28T16:38:02.760918Z,32.19
2023-11-28 16:41:47,Spirulina 003,pio001,2023-11-28T16:41:47.741335Z,32.15
2023-11-28 16:45:32,Spirulina 003,pio001,2023-11-28T16:45:32.753219Z,32.18
2023-11-28 16:49:17,Spirulina 003,pio001,2023-11-28T16:49:17.758562Z,32.16
2023-11-28 16:53:02,Spirulina 003,pio001,2023-11-28T16:53:02.747043Z,32.17
2023-11-28 16:56:47,Spirulina 003,pio001,2023-11-28T16:56:47.744784Z,32.24
2023-11-28 17:00:32,Spirulina 003,pio001,2023-11-28T17:00:32.756491Z,32.26
2023-11-28 17:04:17,Spirulina 003,pio001,2023-11-28T17:04:17.758134Z,32.31
2023-11-28 17:08:02,Spirulina 003,pio001,2023-11-28T17:08:02.750489Z,32.41
2023-11-28 17:11:47,Spirulina 003,pio001,2023-11-28T17:11:47.754158Z,32.43
2023-11-28 17:15:32,Spirulina 003,pio001,2023-11-28T17:15:32.746069Z,32.49
2023-11-28 17:19:17,Spirulina 003,pio001,2023-11-28T17:19:17.748107Z,32.54
2023-11-28 17:23:02,Spirulina 003,pio001,2023-11-28T17:23:02.744723Z,32.53
2023-11-28 17:26:47,Spirulina 003,pio001,2023-11-28T17:26:47.755584Z,32.55
2023-11-28 17:30:32,Spirulina 003,pio001,2023-11-28T17:30:32.761826Z,32.55
2023-11-28 17:34:17,Spirulina 003,pio001,2023-11-28T17:34:17.752607Z,32.54
2023-11-28 17:38:02,Spirulina 003,pio001,2023-11-28T17:38:02.753350Z,32.53
2023-11-28 17:41:47,Spirulina 003,pio001,2023-11-28T17:41:47.757022Z,32.54
2023-11-28 17:45:32,Spirulina 003,pio001,2023-11-28T17:45:32.754030Z,32.49
2023-11-28 17:49:17,Spirulina 003,pio001,2023-11-28T17:49:17.758214Z,32.5
2023-11-28 17:53:02,Spirulina 003,pio001,2023-11-28T17:53:02.756415Z,32.53
2023-11-28 17:56:47,Spirulina 003,pio001,2023-11-28T17:56:47.744622Z,32.48
